,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,sqft_living15,sqft_lot15,renovated_or_not,stye
76,380000.0,4,1.75,1760,7300,1.0,0,0,3,7,880,880,1680,7500,0,1
77,480000.0,3,1.0,1040,5060,1.0,0,0,3,7,1040,0,890,5060,0,1
78,410000.0,3,1.0,1410,5060,1.0,0,0,4,7,910,500,1130,5693,0,1
80,390000.0,3,2.5,2350,5100,2.0,0,0,3,8,2350,0,2350,5363,0,3
81,360000.0,4,2.5,1900,5889,2.0,0,0,3,7,1900,0,1870,6405,0,3
82,355000.0,2,1.0,2020,6720,1.0,0,0,3,7,1010,1010,1720,6720,0,1
83,356000.0,3,1.5,1680,8712,1.0,0,0,3,8,1680,0,1850,8797,0,2
84,315000.0,3,1.0,960,6634,1.0,0,0,3,6,960,0,1570,7203,0,1
85,940000.0,3,1.5,2140,3600,2.0,0,0,3,9,1900,240,2020,4800,0,0
86,305000.0,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1590,8165,0,2
87,461000.0,3,3.25,2770,6278,2.0,0,0,3,9,1980,790,1900,7349,0,3
88,215000.0,2,2.25,1610,2040,2.0,0,0,4,7,1610,0,1950,2025,0,2
89,335000.0,2,1.75,1030,1066,2.0,0,0,3,7,765,265,1030,1106,0,3
90,243500.0,4,2.5,1980,7403,2.0,0,0,3,7,1980,0,1980,7510,0,3
91,1099880.0,5,2.75,3520,6353,2.0,0,0,4,10,3520,0,2520,6250,0,3
92,153000.0,3,1.0,1200,10500,1.0,0,0,3,7,1200,0,1350,10500,0,2
93,430000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1570,4500,0,1
94,700000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1570,4500,0,1
95,905000.0,4,2.5,3300,10250,1.0,0,0,3,7,2390,910,1950,6045,1,1
96,247500.0,3,1.75,1960,15681,1.0,0,0,3,7,1960,0,1750,15616,0,2
97,199000.0,4,1.5,1160,6400,1.0,0,0,4,7,1160,0,1160,6400,0,2
100,850830.0,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,2200,4500,0,0
101,555000.0,3,2.0,1980,3478,1.5,0,0,4,7,1440,540,1610,3478,0,1
103,1088000.0,3,2.5,2920,8113,2.0,0,0,3,8,2920,0,2370,8113,1,1
104,290000.0,3,1.0,1210,33919,1.0,0,0,3,7,1210,0,1640,14910,0,1
105,375000.0,3,2.5,2340,10005,1.0,0,0,4,8,1460,880,2250,8162,0,2
106,460000.0,3,1.0,1670,4005,1.5,0,0,4,7,1170,500,1240,4005,0,1
107,188500.0,2,1.75,1240,2493,1.0,0,0,4,8,1240,0,1270,4966,0,2
109,470000.0,5,1.75,2030,12342,2.0,0,0,4,7,2030,0,2500,9433,0,1
110,597750.0,4,2.5,2310,9624,2.0,0,0,3,8,2310,0,1940,9636,0,2
111,570000.0,3,1.75,1260,3328,1.0,0,0,5,6,700,560,1380,3536,0,0
112,272500.0,3,1.75,1540,12600,1.0,0,0,4,7,1160,380,1540,11656,0,2
113,329950.0,3,1.75,2080,5969,1.0,0,2,3,7,1080,1000,2090,5500,0,2
114,480000.0,4,2.5,3230,16171,2.0,0,3,3,9,2520,710,2640,8517,0,3
115,740500.0,3,3.5,4380,6350,2.0,0,0,3,8,2780,1600,1830,6350,1,0
116,518500.0,3,3.5,1590,1102,3.0,0,0,3,8,1590,0,1620,3166,0,3
117,205425.0,2,1.0,880,6780,1.0,0,0,4,6,880,0,1190,6780,0,1
118,171800.0,4,2.0,1570,9600,1.0,0,0,3,6,1570,0,1880,9000,0,1
119,535000.0,4,1.0,1610,2982,1.5,0,0,4,7,1610,0,1610,4040,0,0
120,660000.0,3,2.5,2400,6474,1.0,0,2,3,8,1560,840,2340,10856,0,2
121,391500.0,3,2.0,1450,9132,1.0,0,0,3,7,1450,0,1580,9104,0,3
122,395000.0,2,1.0,770,6000,1.0,0,0,3,6,770,0,1710,6000,0,1
123,445000.0,4,1.75,2100,4400,1.5,0,0,5,7,1720,380,1850,4400,0,0
124,770000.0,3,2.25,2910,10204,2.0,0,0,3,9,2910,0,2700,13992,0,3
126,445000.0,3,2.25,2100,8201,1.0,0,2,3,8,1620,480,2660,8712,0,2
127,260000.0,4,2.25,2160,8811,1.0,0,0,3,8,1360,800,2090,8400,0,2
128,822500.0,5,3.5,2320,4960,2.0,0,0,5,7,1720,600,1700,4960,0,0
129,430000.0,4,2.5,2070,4310,2.0,0,0,3,7,2070,0,1970,3748,0,3
130,212000.0,3,1.75,1060,7875,1.0,0,0,4,7,1060,0,1420,7680,0,2
131,660500.0,4,2.25,2010,9603,1.0,0,0,3,8,1440,570,2060,9793,0,2
133,453246.0,3,2.5,2010,2287,2.0,0,0,3,8,1390,620,1690,1662,0,3
134,675000.0,4,3.5,2140,2278,3.0,0,0,3,9,2140,0,1540,2285,0,3
136,220000.0,4,1.75,2020,7840,1.0,0,0,3,7,1010,1010,1750,8140,0,2
137,452000.0,4,2.25,2590,10002,1.0,0,0,4,8,1340,1250,1550,10436,0,2
138,382500.0,2,1.0,1190,4440,1.0,0,0,3,6,1190,0,1060,5715,0,2
139,519950.0,3,2.25,1170,1249,3.0,0,0,3,8,1170,0,1350,1310,0,3
140,665000.0,2,1.0,1110,3200,1.0,0,0,3,7,1110,0,1170,3600,0,0
141,527700.0,5,2.5,2820,9375,1.0,0,0,4,8,1550,1270,2820,9375,0,2
142,205000.0,3,1.0,1610,8579,1.0,0,0,4,7,1010,600,1610,8579,0,2
143,420000.0,3,1.0,1060,8097,1.0,0,0,4,7,940,120,1560,7940,0,0
144,500000.0,4,2.25,2030,8517,1.0,0,0,4,8,1380,650,2230,8824,0,2
146,890000.0,4,1.0,2550,4000,2.0,0,0,3,8,2370,180,2200,4000,0,0
149,511000.0,3,1.0,1430,3455,1.0,0,0,3,7,980,450,1450,4599,0,1
150,532170.0,3,2.0,1360,3090,2.0,0,0,3,8,1360,0,1500,3090,0,3
151,560000.0,3,1.0,1110,5000,1.5,0,0,3,7,1110,0,1420,5000,0,1
152,282950.0,3,1.0,1250,8200,1.0,0,0,4,7,1250,0,1680,8633,0,1
154,350000.0,1,1.0,700,5100,1.0,0,0,3,7,700,0,1010,5100,0,1
155,215000.0,3,1.0,1180,7669,1.0,0,0,4,7,1180,0,1190,7669,0,2
156,650000.0,5,3.5,3960,25245,2.0,0,0,3,9,2500,1460,2640,13675,0,3
157,320000.0,4,2.75,2640,7500,1.0,0,0,3,8,1620,1020,1980,7875,0,2
158,247000.0,3,2.0,1270,7198,1.5,0,0,3,7,1270,0,1160,7198,1,0
159,320000.0,4,1.75,1760,11180,1.0,0,0,4,8,1760,0,1730,11180,0,2
160,255000.0,5,2.25,2060,8632,1.0,0,0,3,7,1030,1030,1010,11680,0,2
161,438000.0,3,1.75,1780,9660,1.0,0,0,3,7,1780,0,1200,9660,0,2
162,900000.0,3,2.5,3400,16603,2.0,0,0,3,10,3400,0,3400,12601,0,3
163,441000.0,3,2.75,1910,7280,1.0,0,0,3,7,1160,750,1710,8152,0,2
165,370000.0,3,1.75,1580,7000,1.0,0,0,3,7,1180,400,1640,7500,0,2
166,269950.0,2,1.75,1340,7250,1.0,0,0,5,5,700,640,1830,9750,0,1
167,807100.0,4,2.5,2680,4499,2.0,0,0,3,9,2680,0,2920,4500,0,3
168,653000.0,3,2.5,2680,9750,1.0,0,0,4,8,1610,1070,2480,8750,0,2
169,371500.0,3,2.0,1370,8336,1.0,0,0,5,7,1370,0,1770,7288,0,2
170,284000.0,3,1.75,1560,21000,1.0,0,0,3,7,1560,0,1070,7920,0,1
171,272000.0,3,1.75,2160,7140,1.0,0,0,4,7,1670,490,1930,7350,0,2
172,313000.0,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1480,7940,0,1
174,673000.0,4,2.25,2590,8190,2.0,0,0,4,8,2590,0,2260,8335,0,2
175,425000.0,3,2.5,1120,1100,2.0,0,0,3,8,820,300,1590,1795,0,3
176,399950.0,5,2.75,1970,5400,1.0,0,0,3,7,1320,650,1280,2150,0,2
177,385000.0,3,1.0,1220,4800,1.0,0,0,3,6,1220,0,1200,4800,0,0
178,269950.0,3,1.5,1950,7560,1.0,0,2,4,7,1320,630,1950,8941,0,2
179,330000.0,2,1.0,1350,8220,1.0,0,0,3,7,1060,290,1540,8280,0,1
180,260000.0,3,2.5,1670,5797,2.0,0,0,3,7,1670,0,1670,6183,0,3
181,470000.0,4,3.0,2380,5125,1.5,0,0,4,7,1680,700,1410,5375,0,0
182,589000.0,4,3.0,2440,9600,2.0,0,0,5,7,2440,0,2290,9600,0,2
183,163500.0,2,1.5,1050,3419,2.0,0,0,3,7,1050,0,1050,3417,0,3
184,835000.0,4,2.75,3130,13412,2.0,0,0,3,9,2140,990,2260,9984,0,3
185,1095000.0,5,3.0,4090,12850,1.0,0,2,4,10,2090,2000,2540,10270,0,2
186,269000.0,4,1.75,1490,10000,1.0,0,0,4,8,1100,390,2190,8910,0,2
187,560000.0,3,2.5,1900,8744,2.0,0,0,3,8,1900,0,2030,8744,0,3
188,615000.0,4,1.0,1330,2400,1.5,0,0,4,6,1330,0,1330,4400,0,0
189,585188.0,3,2.25,2230,10026,1.0,0,0,3,8,1430,800,2230,9340,0,2
190,305000.0,3,1.75,1650,9480,1.0,0,0,3,7,1220,430,1540,8400,0,2
191,166950.0,3,1.0,1190,8820,1.0,0,0,3,6,1190,0,1230,7980,0,2
192,799000.0,3,2.5,2140,9897,1.0,0,0,4,8,2140,0,2680,10083,0,2
193,400000.0,3,2.5,2180,7508,1.0,0,0,4,7,1420,760,1900,7818,0,2
194,230000.0,3,1.0,1060,10228,1.0,0,0,3,7,1060,0,1570,10228,0,1
195,256883.0,3,2.5,1690,5025,2.0,0,0,3,8,1690,0,2550,5001,0,3
196,423000.0,4,2.0,1970,6480,1.5,0,0,5,7,1130,840,1500,6480,0,0
197,465000.0,3,2.5,2150,4084,2.0,0,0,3,8,2150,0,1750,2385,0,3
200,210000.0,3,1.0,860,11725,1.0,0,0,4,6,860,0,1300,9514,0,1
201,297000.0,3,2.5,1940,14952,2.0,0,0,3,8,1940,0,2030,10450,0,3
202,470000.0,3,1.0,1010,5000,1.0,0,0,3,7,1010,0,1680,5000,0,1
203,226500.0,3,1.5,1300,7370,1.0,0,0,4,7,900,400,1430,7500,0,2
204,274250.0,3,1.0,910,8450,1.0,0,0,4,6,910,0,1400,8040,0,2
205,840000.0,4,1.75,2480,11010,1.0,0,0,4,9,1630,850,2770,10744,0,2
206,677900.0,3,2.5,2440,4587,2.0,0,0,3,8,2440,0,2750,4587,0,3
207,425000.0,3,1.0,1010,5864,1.0,0,0,3,7,1010,0,1290,5000,0,0
209,464000.0,6,3.0,2300,3404,2.0,0,0,3,7,1600,700,1560,1312,1,0
210,320000.0,4,2.25,1550,7579,2.0,0,0,3,8,1550,0,1630,6397,0,3
211,625504.0,3,2.25,1270,1566,2.0,0,0,3,8,1060,210,1160,1327,0,3
212,592500.0,4,2.5,2240,12032,1.0,0,0,3,9,2240,0,2520,12368,0,2
214,477000.0,4,2.75,1720,6270,2.0,0,0,3,8,1720,0,2130,8700,0,2
215,280000.0,2,1.0,850,16400,1.0,0,0,3,6,850,0,1100,14459,0,0
217,445838.0,3,2.5,2250,5692,2.0,0,0,3,8,2250,0,1320,5390,0,3
218,1072000.0,2,2.25,3900,14864,1.0,0,3,3,8,1950,1950,2580,5184,0,1
219,467000.0,2,1.5,1320,10800,1.0,0,0,4,8,1320,0,2120,12040,0,1
220,686000.0,4,2.5,2760,6440,2.0,0,0,3,10,2760,0,3070,8127,0,3
221,279950.0,3,2.0,1750,9750,1.0,0,0,3,7,1350,400,1900,10125,0,2
222,527000.0,4,2.25,2330,19436,2.0,0,0,3,8,2330,0,1910,10055,0,3
223,325000.0,3,2.25,2220,16020,1.0,0,0,4,8,1780,440,2080,9583,0,2
224,328000.0,3,2.25,2020,8379,2.0,0,0,3,7,2020,0,2020,8031,0,3
225,390000.0,3,2.25,1250,7500,1.0,0,0,5,7,1250,0,1280,7392,0,1
226,479950.0,2,2.0,1510,6516,1.0,0,0,3,8,1510,0,1640,6009,0,3
227,264950.0,4,2.25,1720,9753,1.0,0,0,4,7,1120,600,1510,9753,0,2
228,235000.0,3,1.0,1430,15246,1.0,0,0,4,7,980,450,1960,13068,0,2
229,516500.0,3,2.5,1480,4729,2.0,0,0,3,7,1480,0,2250,4729,0,3
230,655000.0,2,1.75,1450,15798,2.0,1,4,3,7,1230,220,2030,13193,1,0
231,500000.0,4,2.75,2280,15347,1.0,0,0,5,7,2280,0,2280,15347,0,2
232,315000.0,6,2.75,2940,7350,1.0,0,0,3,8,1780,1160,2120,8236,0,2
233,213000.0,2,1.0,1000,10200,1.0,0,0,3,6,1000,0,1150,13702,0,2
234,475000.0,3,1.5,2480,5280,1.5,0,0,5,7,1620,860,2090,4800,0,1
237,410000.0,4,1.0,1970,4740,1.5,0,0,3,7,1670,300,1510,4740,1,0
239,472000.0,6,2.5,4410,14034,1.0,0,2,4,9,2350,2060,2600,13988,0,2
240,225000.0,3,1.75,1430,8505,1.0,0,0,4,7,1430,0,1190,8640,0,2
241,210000.0,2,1.0,830,6000,1.0,0,0,3,6,830,0,830,4960,0,1
242,455000.0,2,1.0,1430,5000,1.5,0,0,2,7,1430,0,1450,3750,0,0
243,225000.0,3,1.0,1300,8316,1.0,0,0,4,6,1300,0,1260,8316,0,1
244,480000.0,2,1.0,1030,3060,1.0,0,2,4,7,790,240,1390,3060,0,0
245,363000.0,3,2.5,2740,11872,2.0,0,0,3,9,2740,0,2570,10377,0,3
247,181000.0,2,1.5,720,5120,1.0,0,0,3,6,720,0,1150,2566,0,1
248,250000.0,4,2.0,2010,7312,1.0,0,0,4,7,2010,0,2010,7650,0,2
249,481000.0,3,1.75,1560,3000,1.0,0,0,4,6,770,790,1390,3000,0,0
250,260000.0,3,2.0,1810,7209,1.0,0,0,4,7,1240,570,1750,7209,0,2
251,455000.0,4,2.5,3360,7685,2.0,0,0,3,9,3360,0,3060,6567,0,3
253,349500.0,3,1.0,1400,3538,1.0,0,0,3,7,800,600,1620,6331,0,1
254,245000.0,3,2.5,1730,7442,2.0,0,0,3,7,1730,0,1630,6458,0,3
255,592500.0,2,2.0,1420,9191,1.5,0,2,5,7,1420,0,1420,6816,0,0
256,385000.0,4,1.75,2360,7620,1.0,0,0,4,7,1180,1180,1910,7620,0,1
257,315000.0,3,1.75,1580,11455,1.0,0,0,4,7,1200,380,1550,10650,0,2
258,255000.0,3,1.0,1230,10170,1.0,0,0,3,7,1230,0,1380,10098,0,2
259,693000.0,4,2.5,2460,4425,2.0,0,0,3,8,2460,0,2990,5659,0,3
260,780000.0,3,1.0,1660,4400,1.5,0,0,3,8,1460,200,1660,4400,0,0
261,237000.0,3,1.75,1270,8470,1.0,0,0,4,7,1270,0,1600,8470,0,2
263,425000.0,2,1.0,770,5040,1.0,0,0,3,5,770,0,1330,2580,0,1
265,290000.0,4,2.5,1700,7280,2.0,0,0,4,7,1700,0,1950,7475,0,3
266,285000.0,3,1.0,1120,10701,1.0,0,0,3,7,1120,0,1130,6350,0,1
267,415000.0,2,1.0,1070,4500,1.0,0,0,3,7,1070,0,1320,4465,0,1
268,272500.0,3,2.5,2070,9900,1.0,0,0,3,8,1420,650,2070,8250,0,2
271,436000.0,2,1.0,1040,7538,1.0,0,0,4,7,1040,0,1440,7530,0,1
272,210000.0,3,1.0,1700,11390,1.0,0,0,4,7,1700,0,1350,8164,0,2
273,236000.0,3,1.0,1300,5898,1.0,0,0,3,7,1300,0,1320,7619,0,2
274,331000.0,3,1.75,1080,1306,1.0,0,0,3,7,580,500,1440,2225,1,1
275,365000.0,3,2.5,2653,4510,2.0,0,0,3,8,2653,0,2653,4927,0,3
276,450000.0,3,2.0,2290,16258,1.0,0,0,5,8,2290,0,1660,10530,0,2
277,770000.0,4,2.75,3820,26300,2.0,0,0,3,9,2850,970,1860,12136,0,3
279,405000.0,3,1.75,2390,6000,1.0,0,0,3,6,1240,1150,2020,6000,0,0
280,304900.0,4,1.75,2600,11325,1.0,0,0,4,7,1610,990,1720,11088,0,2
281,170000.0,2,1.0,860,5265,1.0,0,0,3,6,860,0,1650,8775,0,1
284,330000.0,3,3.0,2420,13959,1.0,0,0,4,8,1740,680,2570,13300,0,3
285,370000.0,4,2.5,2720,8666,2.0,0,0,3,9,2720,0,2410,8100,0,3
286,467000.0,5,2.25,2500,13500,1.0,0,0,3,7,1850,650,2300,9750,0,2
287,405000.0,3,1.75,1670,6720,1.0,0,0,3,7,1140,530,1670,7320,0,2
288,675000.0,5,2.25,2900,10300,1.0,0,0,3,8,1450,1450,2310,10300,0,2
289,500000.0,2,1.0,1640,14100,1.0,0,0,4,7,1140,500,1520,13527,0,1
290,389999.0,4,2.5,1890,15770,2.0,0,0,4,7,1890,0,2410,15256,0,2
291,630000.0,4,1.75,2950,9025,1.0,0,2,4,8,1780,1170,2120,9600,0,2
292,360000.0,4,2.5,2160,9528,2.0,0,0,3,9,2160,0,2280,9937,0,3
293,580000.0,4,3.0,3280,11060,2.0,0,0,3,8,2270,1010,2320,11004,0,2
294,550000.0,3,2.0,1970,4166,2.0,0,3,5,8,1270,700,2390,4166,0,1
295,879000.0,4,2.5,3360,22111,2.0,0,0,3,10,3360,0,3150,11374,0,3
296,265000.0,3,2.0,1320,8959,1.0,0,0,3,7,1320,0,1740,7316,0,3
297,446500.0,3,2.5,2650,7286,2.0,0,0,3,8,2650,0,2400,7220,0,3
298,404000.0,3,1.5,2030,8880,1.0,0,0,3,7,1330,700,2140,5592,0,2
299,267500.0,3,1.75,1590,11914,1.0,0,2,3,7,1090,500,1630,9052,0,1
301,335000.0,3,2.5,2440,7632,2.0,0,0,3,8,2440,0,2510,7903,0,3
302,576000.0,3,2.5,1940,9000,1.0,0,0,4,7,970,970,2190,7310,0,1
303,208633.0,3,2.5,2040,3810,2.0,0,0,3,8,2040,0,2370,4590,0,3
304,315000.0,3,2.25,2200,8750,1.0,0,0,4,7,1120,1080,1460,10139,0,2
305,725000.0,3,1.75,1920,3300,1.0,0,0,4,8,960,960,1740,4000,0,0
306,550000.0,4,2.75,1800,7750,1.0,0,0,4,8,1400,400,1800,8275,0,2
307,610750.0,4,2.25,2180,7297,2.0,0,0,3,8,2180,0,2250,9781,0,2
308,550700.0,2,1.0,1010,5000,1.5,0,0,4,6,1010,0,1460,5000,0,0
309,665000.0,4,2.75,3320,10574,2.0,0,0,5,8,2220,1100,2720,8330,0,2
310,834000.0,4,2.5,2370,4000,1.5,0,2,5,8,1980,390,2440,5750,0,0
315,305000.0,4,2.25,1950,7700,1.0,0,0,3,8,1350,600,2150,7350,0,2
316,487000.0,3,2.0,2590,14052,1.0,0,0,5,8,1720,870,1570,8162,0,1
318,548000.0,2,1.0,1470,3864,1.0,0,0,4,7,1170,300,1570,3864,0,0
319,268750.0,4,1.0,800,8775,1.0,0,0,3,6,800,0,1310,8775,0,1
320,819900.0,5,2.75,3150,7119,2.0,0,0,3,9,3150,0,1560,8384,0,3
322,230000.0,3,2.0,1450,11204,1.0,0,0,3,7,1450,0,1520,9518,0,3
323,240000.0,3,1.75,1510,10248,1.0,0,0,3,7,1510,0,1510,9753,0,2
324,232000.0,2,1.0,1240,12092,1.0,0,0,3,6,960,280,1820,7460,1,0
325,240500.0,2,1.0,1240,12092,1.0,0,0,3,6,960,280,1820,7460,1,0
327,740000.0,4,2.0,2050,4400,1.5,0,0,4,9,2050,0,2320,5500,0,0
328,186375.0,3,1.0,1000,7636,1.0,0,0,2,7,1000,0,1150,7600,0,1
329,790000.0,3,2.25,2370,10289,1.0,0,0,4,9,1590,780,2500,10004,0,2
330,880000.0,4,3.5,2800,6750,2.0,0,0,3,9,1890,910,2370,6120,1,1
331,279000.0,6,1.75,2240,11180,2.0,0,0,4,7,2240,0,1590,7955,0,1
332,295000.0,3,2.0,1810,10530,1.0,0,2,3,8,1810,0,1910,10450,0,3
333,640000.0,2,1.0,1070,5000,1.0,0,0,3,7,1070,0,1710,5000,0,0
334,940000.0,4,2.0,2490,9525,2.0,0,0,5,9,2490,0,2770,9525,0,2
335,260000.0,4,2.5,1960,5238,2.0,0,0,3,7,1960,0,1800,5894,0,3
336,559900.0,3,2.75,2930,5569,1.0,0,0,3,9,1860,1070,2580,11045,0,3
337,791500.0,4,2.0,1510,3500,1.5,0,0,5,7,1510,0,1820,3750,0,0
338,265000.0,3,1.75,1420,8250,1.0,0,0,3,7,1420,0,1740,8000,0,1
340,485000.0,4,1.75,2560,43995,2.0,0,0,4,7,2560,0,2560,14764,0,2
341,684000.0,4,3.5,3040,8414,2.0,0,0,3,9,2420,620,3470,8066,0,3
342,425000.0,3,1.75,2500,6840,1.0,0,0,3,8,1300,1200,1580,8691,0,1
344,552250.0,4,2.5,2580,5823,2.0,0,0,3,8,2580,0,2380,5823,0,3
345,165000.0,4,1.0,1000,7134,1.0,0,0,3,6,1000,0,1020,7138,0,1
346,239900.0,4,1.0,1000,7134,1.0,0,0,3,6,1000,0,1020,7138,0,1
348,206600.0,3,2.0,1390,13464,1.0,0,0,4,7,1390,0,1720,12080,0,3
349,387000.0,4,1.75,2500,7690,1.0,0,0,3,7,1250,1250,2040,8646,0,2
351,855000.0,4,2.75,2270,10460,2.0,0,0,3,9,2270,0,2610,10180,0,2
352,315000.0,3,1.0,1900,14400,1.0,0,0,4,7,1300,600,1940,14400,0,1
353,437500.0,2,1.0,990,3120,1.0,0,2,5,7,790,200,1930,3120,0,0
